alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
Hugo Quiroz Mercado,Hugo Quiroz Mercado,alta,revision_manual_resuelta_web,,,
"Quiroz-Mercado, H.",Hugo Quiroz Mercado,alta,revision_manual_resuelta_web,,,
I. Perez-Ruiz,I Perez Ruiz,media,revision_manual_resuelta_web,,,
"Perez-Ruiz, I.",I Perez Ruiz,media,revision_manual_resuelta_web,,,
Igor Lugo,Igor Lugo,alta,nuevo_autor_normalizado_display,0.0,3,3
"Lugo, Igor",Igor Lugo,alta,nuevo_autor_normalizado,0.0,3,3
Ilia Markov,Ilia Markov,alta,nuevo_autor_normalizado_display,0.0,2,2
"Markov, Ilia",Ilia Markov,alta,nuevo_autor_normalizado,0.0,2,2
"Eizmendi, Inaki",Iñaki Eizmendi,alta,tutora_exacta,1.0,2,2
Inaki Eizmendi,Iñaki Eizmendi,alta,tutora_exacta_display,1.0,2,2
I Ventura,Inmaculada Ventura,media,revision_manual_resuelta_web,,,
Inmaculada Ventura,Inmaculada Ventura,media,revision_manual_resuelta_web,,,
"Ventura, I.",Inmaculada Ventura,media,revision_manual_resuelta_web,,,
Iratxe Landa,Iratxe Landa,alta,nuevo_autor_normalizado_display,0.0,2,2
"Landa, Iratxe",Iratxe Landa,alta,nuevo_autor_normalizado,0.0,2,2
"Estévez, Irene",Irene Estévez,alta,nuevo_autor_normalizado,0.0,1,1
Irene Estévez,Irene Estévez,alta,nuevo_autor_normalizado_display,0.0,1,1
Irene Vergara,Irene Vergara,alta,nuevo_autor_normalizado_display,0.0,2,2
"Vergara, Irene",Irene Vergara,alta,nuevo_autor_normalizado,0.0,2,2
"García-Martínez, Irving",Irving García Martínez,alta,nuevo_autor_normalizado,0.0,1,1
Irving García Martínez,Irving García Martínez,alta,nuevo_autor_normalizado_display,0.0,1,1
Ismael Lopez Juarez,Ismael Lopez Juarez,alta,tutora_exacta_display,1.0,2,2
"Lopez-Juarez, Ismael",Ismael Lopez Juarez,alta,tutora_exacta,1.0,2,2
"Díaz, Iván",Iván Díaz,alta,nuevo_autor_normalizado,0.0,2,2
Iván Díaz,Iván Díaz,alta,nuevo_autor_normalizado_display,0.0,2,2
Ivan Giovanni Valdespin Garcia,Ivan Giovanni Valdespin Garcia,alta,nuevo_autor_normalizado_display,0.0,2,2
"Valdespin-Garcia, Ivan Giovanni",Ivan Giovanni Valdespin Garcia,alta,nuevo_autor_normalizado,0.0,2,2
Ivan Rivas Cambero,Ivan Rivas Cambero,alta,nuevo_autor_normalizado_display,0.0,1,1
"Rivas-Cambero, Ivan",Ivan Rivas Cambero,alta,nuevo_autor_normalizado,0.0,1,1
Ivan Vladimir Meza Ruiz,Ivan Vladimir Meza Ruíz,alta,tutora_exacta_display,1.0,2,2
"Ruiz, Ivan Vladimir Meza",Ivan Vladimir Meza Ruíz,alta,tutora_exacta,1.0,2,2
I Zavala,Iván Zavala,media,revision_manual_resuelta_web,,,
Iván Zavala,Iván Zavala,media,revision_manual_resuelta_web,,,
"Zavala, I.",Iván Zavala,media,revision_manual_resuelta_web,,,
Ivette Reyes Hernandez,Ivette Reyes Hernandez,alta,nuevo_autor_normalizado_display,0.0,2,2
"Reyes-Hernandez, Ivette",Ivette Reyes Hernandez,alta,nuevo_autor_normalizado,0.0,2,2
J E Lavin Delgado,J E Lavín Delgado,media,revision_manual_resuelta_web,,,
"Lavin-Delgado, J. E.",J E Lavín Delgado,media,revision_manual_resuelta_web,,,
J E Pérez León,J E Pérez León,media,revision_manual_resuelta_web,,,
"Pérez-León, J.E.",J E Pérez León,media,revision_manual_resuelta_web,,,
J E Solis Perez,J E Solís Pérez,alta,tutora_exacta_display,1.0,1,1
"Solis-Perez, J. E.",J E Solís Pérez,alta,tutora_exacta,1.0,1,1
"Castro-Chacón, J.H.",J H Castro Chacón,media,revision_manual_resuelta_web,,,
J H Castro Chacón,J H Castro Chacón,media,revision_manual_resuelta_web,,,
"Camacho-Escoto, J. J.",J J Camacho Escoto,alta,tutora_exacta,1.0,2,2
"Escoto, J. J. Camacho",J J Camacho Escoto,alta,tutora_exacta,1.0,1,1
J J Camacho Escoto,J J Camacho Escoto,alta,tutora_exacta_display,1.0,2,2
J Moreno Sáenz,J Moreno Sáenz,media,revision_manual_resuelta_web,,,
"Moreno-Sáenz, J.",J Moreno Sáenz,media,revision_manual_resuelta_web,,,
J Perez Gonzalez,J Perez Gonzalez,alta,tutora_exacta_display,1.0,4,4
